,datetime,username,channel,message
0,2022-05-22T13:17:12.007334,milanista_naqid,#gothamchess,MUTED @GothamChess
1,2022-05-22T13:17:12.498983,lightshad3z,#gothamchess,try the g6 setup?
2,2022-05-22T13:17:12.825729,lawff_,#gothamchess,lol
3,2022-05-22T13:17:17.721170,notjag05,#gothamchess,Muted
4,2022-05-22T13:17:20.136446,slipperysnake321,#gothamchess,Who is this Beaker-looking nerd?
5,2022-05-22T13:17:22.953552,thebarlyy,#gothamchess,got this in 4
6,2022-05-22T13:17:25.100173,brunostenn,#gothamchess,muted?
7,2022-05-22T13:17:31.233441,gypaete03,#gothamchess,Nimzo ?
8,2022-05-22T13:17:33.218518,artur243w4e,#gothamchess,muted
9,2022-05-22T13:17:33.398352,marlboro_raze_freak,#gothamchess,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bf4 c5 5. e3 Qb6 @GothamChess
10,2022-05-22T13:17:37.403616,cloud555nefos,#gothamchess,not muted?
11,2022-05-22T13:17:43.558660,neondactyl,#gothamchess,ratJAM
12,2022-05-22T13:17:43.558897,qwasdertywasd,#gothamchess,this is defo not going on yt
13,2022-05-22T13:17:47.901289,qwasdertywasd,#gothamchess,no yt
14,2022-05-22T13:17:52.484157,notjag05,#gothamchess,not YT worthy
15,2022-05-22T13:17:53.215120,tsackman,#gothamchess,OMG M!
16,2022-05-22T13:17:54.701830,nomnomwaffless,#gothamchess,yea lol
17,2022-05-22T13:17:55.289635,tsackman,#gothamchess,M!
18,2022-05-22T13:17:57.136235,nikhil9t7,#gothamchess,Trompowsky?
19,2022-05-22T13:17:58.376878,kunaalchess,#gothamchess,BROOOO RICHARD RAPPORT FLAGGED
20,2022-05-22T13:17:58.377117,neelyos234,#gothamchess,there is no d4
21,2022-05-22T13:18:00.181212,tsackman,#gothamchess,M1
22,2022-05-22T13:18:01.472356,tackythepenguin,#gothamchess,Chat talking about muted and he doesn’t even read the chat during Chessle… you’re the ones muted bozos
23,2022-05-22T13:18:02.234332,amarillogriffin,#gothamchess,@marlboro_raze_freak dude can't you just let him guess?
