,datetime,username,channel,message
0,2022-05-12T10:05:41.478836,cgtiwnl,#iitztimmy,mfker got ganged up LMAO
1,2022-05-12T10:05:48.420165,out_smoked,#iitztimmy,Where’d Timmy go
2,2022-05-12T10:05:48.626343,fourthhokage20,#iitztimmy,Ouch
3,2022-05-12T10:05:52.352004,streamelements,#iitztimmy,"NEW YOUTUBE CHANNELS HAVE ARRIVED! iitzAAAA Subscribe to the second channel → https://bit.ly/iitztimmytwo (Valorant, variety, IRL) / Shorts channel → https://bit.ly/iitztimmyshorts"
4,2022-05-12T10:05:54.156423,thedarky5,#iitztimmy,Sad
5,2022-05-12T10:06:01.243687,30hrsss,#iitztimmy,HD
6,2022-05-12T10:06:02.506916,giusid1,#iitztimmy,LOL
7,2022-05-12T10:06:08.923704,sensualcharmm,#iitztimmy,PogBones PogBones
8,2022-05-12T10:06:11.599949,uvqai,#iitztimmy,bro whats thus
9,2022-05-12T10:06:11.781750,tianpigpig__,#iitztimmy,!time
10,2022-05-12T10:06:14.689304,streamelements,#iitztimmy,"tianpigpig__, it is 03:06 PST for Timmy!"
11,2022-05-12T10:06:15.917222,uvqai,#iitztimmy,catJAM
12,2022-05-12T10:06:19.230531,noobzilluh,#iitztimmy,iitzZoom iitzZoom iitzZoom
13,2022-05-12T10:06:19.530527,chris__chris4,#iitztimmy,!uptime
14,2022-05-12T10:06:29.901886,streamelements,#iitztimmy,"chris__chris4, Timmy has been streaming for  12 hours 13 mins !"
15,2022-05-12T10:06:30.138060,the_social_exp,#iitztimmy,!mediashare
16,2022-05-12T10:06:30.295568,streamelements,#iitztimmy,"the_social_exp, request a video here https://streamelements.com/iitztimmy/tip - Videos that contain NSFW and content that goes against TOS will be skipped on stream. DMCA music is allowed as it'll be removed from VOD. Your own videos are also not allowed. Mediashare is still considered as a donation and donations will not be refunded. iitzThumbsUp"
17,2022-05-12T10:06:35.396622,bobbyflyhey,#iitztimmy,imperialStare
18,2022-05-12T10:06:40.569311,tillyos,#iitztimmy,imperialStare
19,2022-05-12T10:06:41.361548,coookiee_kun,#iitztimmy,halsucc
20,2022-05-12T10:06:43.167892,bobbyflyhey,#iitztimmy,KEKW
21,2022-05-12T10:06:43.918767,tillyos,#iitztimmy,OMEGALUL
22,2022-05-12T10:06:47.178205,supermonkey3654,#iitztimmy,37 mods. 39 including the bots. Holy shit
23,2022-05-12T10:06:48.456198,myaimsucks,#iitztimmy,KEKW
24,2022-05-12T10:06:48.613831,calleboi365,#iitztimmy,pcrowBounce
25,2022-05-12T10:06:52.384899,bobbyflyhey,#iitztimmy,NT imperialStare
26,2022-05-12T10:06:54.355678,lannarr,#iitztimmy,halsucc
27,2022-05-12T10:06:55.694866,uvqai,#iitztimmy,bro telerpote
28,2022-05-12T10:06:59.907074,caliphorniabromance,#iitztimmy,"11,000 people in a stream watching hal clips with no strimmer KEKW"
29,2022-05-12T10:07:04.522192,itsetizaz,#iitztimmy,LOL
30,2022-05-12T10:07:04.679728,kirowlet_,#iitztimmy,safe YEP
31,2022-05-12T10:07:04.974297,fourthhokage20,#iitztimmy,BBBBBRRRRRUUUUUHHHHH
32,2022-05-12T10:07:05.131985,kubbykuppy,#iitztimmy,OMEGALUL
33,2022-05-12T10:07:07.300611,yoruuchi,#iitztimmy,KEKW
34,2022-05-12T10:07:13.069062,coookiee_kun,#iitztimmy,BOOBA halsucc SALAMI
35,2022-05-12T10:07:14.597044,noobzilluh,#iitztimmy,iitzSmart
36,2022-05-12T10:07:14.803271,aguacatefresco,#iitztimmy,"""safe where im at"" *dies*"
37,2022-05-12T10:07:19.708947,coookiee_kun,#iitztimmy,!vanish
38,2022-05-12T10:07:25.360746,uvqai,#iitztimmy,"mh,jkewewewewewl"
39,2022-05-12T10:07:27.763081,30hrsss,#iitztimmy,is this the censor of apex
40,2022-05-12T10:07:29.705821,princehooper,#iitztimmy,W mods
41,2022-05-12T10:07:32.459756,3aileigh,#iitztimmy,goodnight vhat luvv
42,2022-05-12T10:07:33.013638,3aileigh,#iitztimmy,chat*
43,2022-05-12T10:07:42.099842,calleboi365,#iitztimmy,pcrowBounce pcrowBounce
44,2022-05-12T10:07:42.519898,bobbyflyhey,#iitztimmy,GN
45,2022-05-12T10:07:44.263203,tillyos,#iitztimmy,3aileigh gn bejj
46,2022-05-12T10:07:49.712692,kubbykuppy,#iitztimmy,@3aileigh luvv
47,2022-05-12T10:07:50.028021,themlgharambe,#iitztimmy,!uptime
48,2022-05-12T10:07:52.349802,streamelements,#iitztimmy,"themlgharambe, Timmy has been streaming for  12 hours 15 mins !"
49,2022-05-12T10:07:52.824275,myaimsucks,#iitztimmy,"@3aileigh, gn bejj"
50,2022-05-12T10:07:53.116297,lannarr,#iitztimmy,@3aileigh gn luvv bejj
51,2022-05-12T10:08:00.449699,po_sarxoze,#iitztimmy,Bedge
52,2022-05-12T10:08:00.640020,3aileigh,#iitztimmy,@lannarr Stare gn
53,2022-05-12T10:08:04.147844,coookiee_kun,#iitztimmy,@3aileigh gn bejj
54,2022-05-12T10:08:09.474031,uvqai,#iitztimmy,L  video tbh
55,2022-05-12T10:08:09.709631,sjyn13,#iitztimmy,!mediashare
56,2022-05-12T10:08:10.921075,streamelements,#iitztimmy,"sjyn13, request a video here https://streamelements.com/iitztimmy/tip - Videos that contain NSFW and content that goes against TOS will be skipped on stream. DMCA music is allowed as it'll be removed from VOD. Your own videos are also not allowed. Mediashare is still considered as a donation and donations will not be refunded. iitzThumbsUp"
57,2022-05-12T10:08:16.954225,uvqai,#iitztimmy,chat am i right
58,2022-05-12T10:08:17.943711,lannarr,#iitztimmy,@3aileigh  peepoFine
59,2022-05-12T10:08:19.278195,tillyos,#iitztimmy,@uvqai no
60,2022-05-12T10:08:25.753876,bobbyflyhey,#iitztimmy,KEKW
61,2022-05-12T10:08:29.081202,coookiee_kun,#iitztimmy,@uvqai N OMEGALUL
62,2022-05-12T10:08:31.410115,myaimsucks,#iitztimmy,L opinion ICANT
