,datetime,username,channel,message
0,2022-05-22T15:41:12.131996,kekw33213,#loltyler1,????????????????????
1,2022-05-22T15:41:12.294053,valakino,#loltyler1,KEKW heal
2,2022-05-22T15:41:12.618158,pidhiii,#loltyler1,T1 BELONGS IN D1 T1 BELONGS IN D1 T1 BELONGS IN D1 T1 BELONGS IN D1 T1 BELONGS IN D1 T1 BELONGS IN D1 T1 BELONGS IN D1 T1 BELONGS IN D1 T1 BELONGS IN D1 T1 BELONGS IN D1 T1 BELONGS IN D1 T1 BELONGS IN D1
3,2022-05-22T15:41:13.229385,w_clooney1,#loltyler1,BigBrother HahaShrugRight CurseLit MingLee CurseLit
4,2022-05-22T15:41:14.305979,river_shen_main,#loltyler1,"This poppy isn't win trading, she's just bad Clueless"
5,2022-05-22T15:41:14.513040,mrp_ositive,#loltyler1,OMEGALUL KR IS A JOKE
6,2022-05-22T15:41:14.999146,swaggerbench,#loltyler1,BigBrother  DEFORMED BigBrother
7,2022-05-22T15:41:16.088597,kudaranai_,#loltyler1,this team KEKW
8,2022-05-22T15:41:16.089357,xoimadox,#loltyler1,!ogpp
9,2022-05-22T15:41:16.089711,d4r000000000,#loltyler1,?????
10,2022-05-22T15:41:16.089810,vamoedu,#loltyler1,KEKHeim OF COURSE
11,2022-05-22T15:41:16.207464,nisici,#loltyler1,STILL 100 LP KEKW
12,2022-05-22T15:41:16.689128,synthetick,#loltyler1,monkerS spiked
13,2022-05-22T15:41:16.850759,ex0ttick,#loltyler1,KEKW KR CHALLENGER = NA PLAT
14,2022-05-22T15:41:16.850998,assassin_zomboy,#loltyler1,iron 1 in las
15,2022-05-22T15:41:17.580894,gwen_ayaya,#loltyler1,NA SILVER >
16,2022-05-22T15:41:17.742703,deli_keeper,#loltyler1,HEY ALAN  KEKWKEKWKEKW
17,2022-05-22T15:41:18.066785,no_it_was_me,#loltyler1,where r ur axes
18,2022-05-22T15:41:18.229183,mudokkon,#loltyler1,mental diff BigBrother
19,2022-05-22T15:41:18.229381,kekw33213,#loltyler1,?????????
20,2022-05-22T15:41:18.229403,joonki07,#loltyler1,GO T1
21,2022-05-22T15:41:18.567758,oxidem4a4,#loltyler1,LILLIA OMEGALUL
22,2022-05-22T15:41:18.730335,pugmalone1,#loltyler1,GO NEXT FF
23,2022-05-22T15:41:18.892155,lazypusheen,#loltyler1,BigBrother BigBrother MORE BigBrother BigBrother
24,2022-05-22T15:41:19.054020,jessicattq,#loltyler1,BigBrother KR IS REVERTING HIM BigBrother
25,2022-05-22T15:41:19.378729,naikron,#loltyler1,BigBrother
26,2022-05-22T15:41:19.540346,aaaonline,#loltyler1,KR OVERRATED YEP
27,2022-05-22T15:41:19.702092,pelanca,#loltyler1,??????? LEONA
28,2022-05-22T15:41:20.188567,woxhun,#loltyler1,you know screraming trash at them wont help u win the game
29,2022-05-22T15:41:20.188710,spaceandenterkappa,#loltyler1,EHEHE
30,2022-05-22T15:41:21.239713,jerryfanboy,#loltyler1,LEONA GOES IN KEKW
31,2022-05-22T15:41:21.564524,biggerwhenpulled,#loltyler1,I DIDN'T EVEN KNOW YOU HAD AN AKALI ON YOUR TEAM OMEGALUL
32,2022-05-22T15:41:22.073387,whatshezed123,#loltyler1,!rank
33,2022-05-22T15:41:22.235590,bushysantathebusysanta,#loltyler1,!rank
34,2022-05-22T15:41:22.397921,cholm_,#loltyler1,KR SO BAD KEKW
35,2022-05-22T15:41:22.560073,slackeraven,#loltyler1,Tyler gonna come back to america and never go back XD
36,2022-05-22T15:41:22.722621,zandavee,#loltyler1,OMEGALUL 200 PING KATARINA
37,2022-05-22T15:41:22.884918,yukistarcraft,#loltyler1,BigBrother 🚫
38,2022-05-22T15:41:23.532416,fuhikie,#loltyler1,"leona goes in one hit hp, not full"
39,2022-05-22T15:41:24.018448,ixzze09,#loltyler1,OMEGALUL KAT
40,2022-05-22T15:41:24.180514,shinierbismuth,#loltyler1,What they saying
41,2022-05-22T15:41:26.506338,joonki07,#loltyler1,GO PLAY T1
42,2022-05-22T15:41:26.668729,twix3z,#loltyler1,KKona Clap
43,2022-05-22T15:41:26.939527,quote_if_erobb_voicecrack,#loltyler1,!rank
44,2022-05-22T15:41:27.912886,xoimadox,#loltyler1,!opgg
45,2022-05-22T15:41:28.074872,fenex5,#loltyler1,PogU
46,2022-05-22T15:41:28.237428,lubren,#loltyler1,!rank
47,2022-05-22T15:41:28.399315,fossabot,#loltyler1,"@QUOTE_IF_EROBB_VOICECRACK, ACCOUNTS: BIG TONKA T is currently Master I 113 LP"
48,2022-05-22T15:41:28.723366,tacobellquesadillayum,#loltyler1,PoroSad saaaaaaj tyler
49,2022-05-22T15:41:28.904642,kudaranai_,#loltyler1,THAT PTA VALUE PogU
50,2022-05-22T15:41:29.066690,valakino,#loltyler1,AYAYA yaa
51,2022-05-22T15:41:29.886078,pomprocks,#loltyler1,AYAYA
52,2022-05-22T15:41:30.373536,notmozam,#loltyler1,NotLikeThis NotLikeThis NotLikeThis NotLikeThis NotLikeThis FailFish FailFish FailFish
53,2022-05-22T15:41:30.698168,polybear_cz,#loltyler1,winnabel
54,2022-05-22T15:41:30.698865,rage_incarnate,#loltyler1,ok poppy PogU
55,2022-05-22T15:41:30.699027,zelias2690,#loltyler1,PauseChamp
56,2022-05-22T15:41:30.861455,thecatsnacks,#loltyler1,winnable
57,2022-05-22T15:41:31.023568,based_one,#loltyler1,DRAVEN modCheck
58,2022-05-22T15:41:31.023869,ioixdd,#loltyler1,KEKW KEKW
59,2022-05-22T15:41:32.467678,aaaonline,#loltyler1,KR EXPOSED Pog
60,2022-05-22T15:41:32.953819,akademise,#loltyler1,Pog Poppy
61,2022-05-22T15:41:33.138001,chicken0589,#loltyler1,NA > KR
62,2022-05-22T15:41:33.300170,blankdbs,#loltyler1,u have no mana and they keep forcing a fight. Its the funniest thing
63,2022-05-22T15:41:33.462105,hyperweirdchamp,#loltyler1,Pog
64,2022-05-22T15:41:33.981741,darkrafff,#loltyler1,AYAYA
65,2022-05-22T15:41:36.340108,misterxploder,#loltyler1,GODLIKE SERVER BTW OMEGALUL
66,2022-05-22T15:41:36.340511,drburgos,#loltyler1,COMEBACK Pog
67,2022-05-22T15:41:36.341484,nauqeas,#loltyler1,Poppy Pog
68,2022-05-22T15:41:36.463237,xliew0,#loltyler1,BigBrother
69,2022-05-22T15:41:36.463547,hk710,#loltyler1,afk monkaW
70,2022-05-22T15:41:36.463685,jeantlg,#loltyler1,why is he inting?
71,2022-05-22T15:41:36.624775,kintza7614,#loltyler1,[[translation]] akali: why you come to this server to talk all this shit
72,2022-05-22T15:41:37.015719,yukistarcraft,#loltyler1,BigBrother 🚫 MANA 🚫  󠀀
73,2022-05-22T15:41:37.016118,corolarry,#loltyler1,BOP AYAYA VS BOP AYAYA
