,datetime,username,channel,message
0,2022-05-12T12:06:59.380956,talal_wolf,#pgl,Pog
1,2022-05-12T12:06:59.538510,dustydusky,#pgl,useless
2,2022-05-12T12:06:59.696073,luene3,#pgl,OMG REDEMPTION ARC
3,2022-05-12T12:06:59.696174,ryujinayato,#pgl,VAC
4,2022-05-12T12:06:59.696224,partyboycs,#pgl,FROM BOT TO GOD
5,2022-05-12T12:06:59.696269,badar94,#pgl,Pog
6,2022-05-12T12:06:59.853523,fonktngx,#pgl,??????????
7,2022-05-12T12:06:59.853614,mrdivago,#pgl,REDEMPTION Pog
8,2022-05-12T12:06:59.853649,whatabotbrow,#pgl,sick shots
9,2022-05-12T12:07:00.011028,noirequiem,#pgl,REDEEMED
10,2022-05-12T12:07:00.011122,smallgoal1,#pgl,OK NITRO
11,2022-05-12T12:07:00.168665,iroll420s,#pgl,code NITRO Redeemed
12,2022-05-12T12:07:00.168819,solembumid,#pgl,REDEMPTION
13,2022-05-12T12:07:00.326107,ipenguin42,#pgl,REDEEMED
14,2022-05-12T12:07:00.326208,quote_if_still_a_pleb_pog,#pgl,actually redemption wtf Pog
15,2022-05-12T12:07:00.326242,themamba117,#pgl,GODTRO
16,2022-05-12T12:07:00.326275,nemesisnxt_tv,#pgl,VAL > CS KEKW
17,2022-05-12T12:07:00.326328,cassieblacc,#pgl,VALORANT STRATS Pog
18,2022-05-12T12:07:00.326379,astralisgariskeras,#pgl,VALARANTE REDEMPTION
19,2022-05-12T12:07:00.326447,chimn1,#pgl,still trash
20,2022-05-12T12:07:00.483622,blaze_99ita,#pgl,gj
21,2022-05-12T12:07:00.483715,hantupocongg,#pgl,HE FLPPING REDEEMED
22,2022-05-12T12:07:00.483751,sensivity3000,#pgl,Pog
23,2022-05-12T12:07:00.483783,fallasea,#pgl,THRIFTY Pog
24,2022-05-12T12:07:00.641225,wylm,#pgl,Pog Pog
25,2022-05-12T12:07:00.641340,nagasyy,#pgl,NITROOOOOO
26,2022-05-12T12:07:00.641379,harambaeboi,#pgl,redemption
27,2022-05-12T12:07:00.641414,chrismarteen,#pgl,VALORANT PLAYER Pog
28,2022-05-12T12:07:00.641446,bleuga,#pgl,NITRO COMBACK
29,2022-05-12T12:07:00.798758,wan_zant,#pgl,ezzzz
30,2022-05-12T12:07:00.798878,harry_iwnl,#pgl,Let’s gooooo
31,2022-05-12T12:07:00.798918,only1xf,#pgl,Gigachad MISSES FREE KILL WINS ECO
32,2022-05-12T12:07:00.798951,customcobra,#pgl,REDEMPTION ARC Pog
33,2022-05-12T12:07:00.956155,silvarui,#pgl,GOD NITRO
34,2022-05-12T12:07:00.956247,oywel,#pgl,Valorant
35,2022-05-12T12:07:00.956282,scruberus,#pgl,REDEMTION POG!
36,2022-05-12T12:07:00.956334,archit_snap,#pgl,Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm Kreygasm
37,2022-05-12T12:07:00.956373,mikey_74,#pgl,Pog
38,2022-05-12T12:07:01.113686,o0xlight0o,#pgl,captain america
39,2022-05-12T12:07:02.431269,osmitty2,#pgl,NITRO
40,2022-05-12T12:07:02.588815,dragonixxxxxx,#pgl,LUL LUL LUL LUL
41,2022-05-12T12:07:02.746218,akhil6600,#pgl,Choot Minister
42,2022-05-12T12:07:02.746331,ash3r_101,#pgl,let's go Astralis
43,2022-05-12T12:07:02.903772,zeitbruch,#pgl,"my god TL HYPE YOURESELF MAN, SCREAM"
44,2022-05-12T12:07:02.903876,ja_zz,#pgl,Pog
45,2022-05-12T12:07:02.903912,mona_darlink,#pgl,captain americaaaaaan
46,2022-05-12T12:07:02.903946,duckerino0,#pgl,REDEMPTION ARC HOLY SHIT Pog
47,2022-05-12T12:07:03.061190,xmeksi,#pgl,Pog NITROOOOOOOOOO
48,2022-05-12T12:07:03.061326,jowilfriedbueno,#pgl,VALORANT Pog
49,2022-05-12T12:07:03.218630,nanjurcruise,#pgl,OMG..
50,2022-05-12T12:07:03.218724,coolnesss,#pgl,VALARANTE BETTER
51,2022-05-12T12:07:03.218759,jorgito_jorgelin,#pgl,KICK FARLIG
52,2022-05-12T12:07:03.376156,nexevio,#pgl,OMGG
53,2022-05-12T12:07:03.376254,oplulzz,#pgl,SHEESH
