,datetime,username,channel,message
0,2022-05-12T00:26:09.807762,ejayzt,#iitztimmy,YEP
1,2022-05-12T00:26:09.964770,icydelusions,#iitztimmy,mods can't change category
2,2022-05-12T00:26:13.266434,wobertbobert,#iitztimmy,HUH
3,2022-05-12T00:26:13.801885,randomasain111,#iitztimmy,YEPCOCK
4,2022-05-12T00:26:19.612094,stilvox,#iitztimmy,YEP
5,2022-05-12T00:26:20.592792,senise_kiname,#iitztimmy,YEPCOCK
6,2022-05-12T00:26:21.376074,palomon_z,#iitztimmy,thank you and sorry verySadge
7,2022-05-12T00:26:28.005397,zarlx,#iitztimmy,COCK YEP
8,2022-05-12T00:26:28.691201,senise_kiname,#iitztimmy,Yep
9,2022-05-12T00:26:30.212937,karasuya,#iitztimmy,YEP
